i,Ii,Ji,ni
1,-12,28,0.150042008263875e10
2,-12,32,-0.159397258480424e12
3,-10,4,0.502181140217975e-3
4,-10,10,-0.672057767855466e2
5,-10,12,0.145058545404456e4
6,-10,14,-0.823889534888890e4
7,-8,5,-0.154852214233853
8,-8,7,0.112305046746695e2
9,-8,8,-0.297000213482822e2
10,-8,28,0.438565132635495e11
11,-6,2,0.1378378386355464e-2
12,-6,6,-0.297478527157462e1
13,-6,32,0.971777947349413e13
14,-5,0,-0.571527767052398e-4
15,-5,14,0.288307949778420e5
16,-5,32,-0.744428289262703e14
17,-4,6,0.128017324848921e2
18,-4,10,-0.368275545889071e3
19,-4,36,0.664768904779177e16
20,-2,1,0.449359251958880e-1
21,-2,4,-0.422897836099655e1
22,-1,1,-0.240614376434179
23,-1,6,-0.474341365254924e1
24,0,0,0.724093999126110
25,0,1,0.923874349695897
26,0,4,0.399043655281315e1
27,1,0,0.384066651868009e-1
28,2,0,-0.359344365571848e-2
29,2,3,-0.735196448821653
30,3,2,0.188367048396131
31,8,0,0.141064266818704e-3
32,8,1,-0.257418501496337e-2
33,10,2,0.123220024851555e-2